,age,bp,sg,al,su,bgr,bu,sc,sod,pot,hemo,pcv,wbcc,rbcc
age,1.0,0.1594796934454536,-0.19109638084641017,0.12209098320819319,0.22086632541242462,0.24499219961690563,0.1969848707760301,0.13253086524238816,-0.10004598307595658,0.05837712001005256,-0.19292833896805342,-0.24211940926833395,0.11833852042973834,-0.2688962851878897
bp,0.1594796934454536,1.0,-0.21883606991698526,0.16068863862750546,0.2225760257666732,0.16019346180582358,0.1885172453103113,0.14622202011373847,-0.1164220357241557,0.07515106557193275,-0.3065398884398657,-0.3263193050079189,0.02975329653102299,-0.26193581014796186
sg,-0.19109638084641017,-0.21883606991698526,1.0,-0.4697598491860105,-0.29623374836036337,-0.3747095917361749,-0.31429497919151644,-0.36147283732349544,0.4121898133018167,-0.07278714191556801,0.602582277611133,0.6035599000086799,-0.2362150431725582,0.5794757530039493
al,0.12209098320819319,0.16068863862750546,-0.4697598491860105,1.0,0.2693046462503098,0.3794642164810221,0.4535283172503908,0.3991983006303371,-0.4598960583583593,0.12903818382161428,-0.6346317780901195,-0.6118911251338759,0.23198928604222682,-0.5664367099595836
su,0.22086632541242462,0.2225760257666732,-0.29623374836036337,0.2693046462503098,1.0,0.7178267668666227,0.16858286812689055,0.22324408509178736,-0.13177561121110004,0.2194495152060018,-0.22477515765643113,-0.23918940362340432,0.18489257864588698,-0.23744794733241026
bgr,0.24499219961690563,0.16019346180582358,-0.3747095917361749,0.3794642164810221,0.7178267668666227,1.0,0.1433220200458159,0.11487499984094197,-0.2678475861576884,0.06696579455295659,-0.3061892815042019,-0.3013847434100505,0.15001468216754688,-0.28154071235952227
bu,0.1969848707760301,0.1885172453103113,-0.31429497919151644,0.4535283172503908,0.16858286812689055,0.1433220200458159,1.0,0.5863678207097766,-0.3230542352893529,0.3570490813524044,-0.6103602784857799,-0.6076213553320026,0.05046201708218004,-0.5790865252805201
sc,0.13253086524238816,0.14622202011373847,-0.36147283732349544,0.3991983006303371,0.22324408509178736,0.11487499984094197,0.5863678207097766,1.0,-0.6901578920579902,0.32610713186923973,-0.4016696244358105,-0.4041930644204258,-0.006389910334803647,-0.40085197686977436
sod,-0.10004598307595658,-0.1164220357241557,0.4121898133018167,-0.4598960583583593,-0.13177561121110004,-0.2678475861576884,-0.3230542352893529,-0.6901578920579902,1.0,0.09788671547835219,0.3651826522575266,0.37691355206594424,0.007277275891275176,0.34487348202530793
pot,0.05837712001005256,0.07515106557193275,-0.07278714191556801,0.12903818382161428,0.2194495152060018,0.06696579455295659,0.3570490813524044,0.32610713186923973,0.09788671547835219,1.0,-0.13374604176482113,-0.16318228377469474,-0.10557621833452088,-0.15830931712780735
hemo,-0.19292833896805342,-0.3065398884398657,0.602582277611133,-0.6346317780901195,-0.22477515765643113,-0.3061892815042019,-0.6103602784857799,-0.4016696244358105,0.3651826522575266,-0.13374604176482113,1.0,0.8953817669928061,-0.16941306580481366,0.798880246744564
pcv,-0.24211940926833395,-0.3263193050079189,0.6035599000086799,-0.6118911251338759,-0.23918940362340432,-0.3013847434100505,-0.6076213553320026,-0.4041930644204258,0.37691355206594424,-0.16318228377469474,0.8953817669928061,1.0,-0.19702236172906454,0.7916252713729907
wbcc,0.11833852042973834,0.02975329653102299,-0.2362150431725582,0.23198928604222682,0.18489257864588698,0.15001468216754688,0.05046201708218004,-0.006389910334803647,0.007277275891275176,-0.10557621833452088,-0.16941306580481366,-0.19702236172906454,1.0,-0.158162762526412
rbcc,-0.2688962851878897,-0.26193581014796186,0.5794757530039493,-0.5664367099595836,-0.23744794733241026,-0.28154071235952227,-0.5790865252805201,-0.40085197686977436,0.34487348202530793,-0.15830931712780735,0.798880246744564,0.7916252713729907,-0.158162762526412,1.0
